Team;Date;Boston_Team;Mins;PTS
Philadelphia 76ers;22.10.2018;Jayson Tatum;38;35
Philadelphia 76ers;22.10.2018;Jaylen Brown;38;35
Philadelphia 76ers;22.10.2018;Marcus Smart;36;14
Philadelphia 76ers;22.10.2018;Derrick White;24;2
Philadelphia 76ers;22.10.2018;Al Horford;23;6
Philadelphia 76ers;22.10.2018;Grant Williams;23;15
Philadelphia 76ers;22.10.2018;Malcolm Brogdon;23;16
Philadelphia 76ers;22.10.2018;Noah Vonleh;20;2
Philadelphia 76ers;22.10.2018;Blake Griffin;8;1
Philadelphia 76ers;22.10.2018;Sam Hauser;3;0
Miami Heat;21.10.2022;Jayson Tatum;36;29
Miami Heat;21.10.2022;Jaylen Brown;34;28
Miami Heat;21.10.2022;Al Horford;33;9
Miami Heat;21.10.2022;Marcus Smart;33;8
Miami Heat;21.10.2022;Derrick White;24;10
Miami Heat;21.10.2022;Grant Williams;25;10
Miami Heat;21.10.2022;Malcolm Brogdon;25;7
Miami Heat;21.10.2022;Noah Vonleh;14;4
Miami Heat;21.10.2022;Sam Hauser;13;0
Chicago Bulls;24.10.2022;Jayson Tatum;35;26
Chicago Bulls;24.10.2022;Jaylen Brown;35;21
Chicago Bulls;24.10.2022;Marcus Smart;32;11
Chicago Bulls;24.10.2022;Derrick White;25;5
Chicago Bulls;24.10.2022;Al Horford;25;8
Chicago Bulls;24.10.2022;Malcolm Brogdon;22;12
Chicago Bulls;24.10.2022;Grant Williams;18;0
Chicago Bulls;24.10.2022;Noah Vonleh;12;2
Chicago Bulls;24.10.2022;Sam Hauser;11;4
Chicago Bulls;24.10.2022;Justin Jackson;5;6
Chicago Bulls;24.10.2022;Payton Pritchard;5;3
Chicago Bulls;24.10.2022;Blake Griffin;5;2
Chicago Bulls;24.10.2022;Luke Kornet;5;2
Memphis Grizzlies;07.11.2022;Jayson Tatum;39;39
Memphis Grizzlies;07.11.2022;Jaylen Brown;38;21
Memphis Grizzlies;07.11.2022;Grant Williams;37;2
Memphis Grizzlies;07.11.2022;Marcus Smart;35;15
Memphis Grizzlies;07.11.2022;Al Horford;32;15
Memphis Grizzlies;07.11.2022;Malcolm Brogdon;19;8
Memphis Grizzlies;07.11.2022;Derrick White;18;4
Memphis Grizzlies;07.11.2022;Sam Hauser;11;5
Denver Nuggets;11.11.2022;Jayson Tatum;37;34
Denver Nuggets;11.11.2022;Jaylen Brown;35;25
Denver Nuggets;11.11.2022;Al Horford;34;21
Denver Nuggets;11.11.2022;Grant Williams;32;13
Denver Nuggets;11.11.2022;Marcus Smart;23;4
Denver Nuggets;11.11.2022;Derrick White;24;10
Denver Nuggets;11.11.2022;Sam Hauser;20;5
Denver Nuggets;11.11.2022;Payton Pritchard;15;11
Denver Nuggets;11.11.2022;Luke Kornet;13;8
Denver Nuggets;11.11.2022;Noah Vonleh;2;0
Atlanta Hawks;16.11.2022;Jayson Tatum;33;19
Atlanta Hawks;16.11.2022;Derrick White;31;16
Atlanta Hawks;16.11.2022;Grant Williams;27;18
Atlanta Hawks;16.11.2022;Al Horford;27;7
Atlanta Hawks;16.11.2022;Jaylen Brown;23;22
Atlanta Hawks;16.11.2022;Sam Hauser;27;15
Atlanta Hawks;16.11.2022;Luke Kornet;25;15
Atlanta Hawks;16.11.2022;Payton Pritchard;24;14
Atlanta Hawks;16.11.2022;Justin Jackson;10;0
Atlanta Hawks;16.11.2022;Blake Griffin;6;0
